variable_name,pseudo_rsquared,coefficient,standard_error,z_value,p_value,odds_ratio
Intercept,0.22555665419475135,-8.267020991206266,0.22785652371382256,-36.2816954128084,3.145374081246216e-288,0.0002568493090345486
black,0.22555665419475135,0.6016748510230777,0.012233663489917748,49.18190299405751,0.0,1.8251731349912448
latino,0.22555665419475135,0.3688196112157417,0.009862299696437368,37.39691781511904,4.385106949662932e-306,1.4460267331419914
asian_cb,0.22555665419475135,0.3840945689249505,0.010773732867059656,35.65102027908148,2.272039805609926e-278,1.4682842891833061
native,0.22555665419475135,0.5083168963002311,0.041112489466353756,12.364050508696025,4.0901574429038845e-35,1.6624906946018392
race_na,0.22555665419475135,0.3448466222367978,0.012256861191072891,28.134986344461655,3.6583540172444697e-174,1.4117733684196139
no_coapplicant,0.22555665419475135,0.21777714177846189,0.0066484997772316735,32.75583200352317,2.507859257689045e-235,1.2433099548964157
na_coapplicant,0.22555665419475135,-0.07727688933664838,0.07922673835321543,-0.9753890030424568,0.32936733647669314,0.9256335200687701
female,0.22555665419475135,-0.0744112475030087,0.00653879255289229,-11.379967616512706,5.261926782141175e-30,0.9282898584458881
sex_na,0.22555665419475135,0.04527223977167223,0.015264469182168002,2.9658574583490527,0.003018403501585706,1.0463126690608915
less_than25,0.22555665419475135,-0.0219273894432807,0.01485142702234089,-1.476450001087134,0.13982312819499584,0.9783112681981293
between25_34,0.22555665419475135,-0.20040431095471856,0.008102430755413764,-24.733850495521402,4.626105044939932e-135,0.8183997981744023
between45_54,0.22555665419475135,0.1581606922666527,0.008655800080825391,18.272221029805827,1.3772928632223997e-74,1.1713544071798634
between55_64,0.22555665419475135,0.09181185012517537,0.010009872384364144,9.172129933303593,4.637635630457812e-20,1.0961585605814266
older_than65,0.22555665419475135,-0.08094094901241107,0.012385469326634278,-6.5351539677509,6.354413609913534e-11,0.9222481495007213
age_na,0.22555665419475135,1.6525174889111354,0.12951926022056642,12.758855216567484,2.782603408097174e-37,5.2201048552797005
income_log,0.22555665419475135,-0.014762961486718911,0.006739735739373379,-2.1904362511535926,0.02849261336683058,0.9853454767501972
loan_log,0.22555665419475135,0.36269643716482436,0.006823023229090721,53.157731549033514,0.0,1.437199512656482
property_value_ratio,0.22555665419475135,-0.00019203927005211586,0.00016139792438636078,-1.1898496884780538,0.23410547592057995,0.9998079791683082
less30yrs_mortgage,0.22555665419475135,-0.15848745134368447,0.01151732064020792,-13.76079179304878,4.386957320323428e-43,0.8534336731695923
more30yrs_mortgage,0.22555665419475135,0.39672081324230096,0.023442212320075893,16.923352106257887,3.027009708944986e-64,1.4869407379324189
equifax,0.22555665419475135,-0.012333056530847816,0.007542635973615721,-1.6351122570397238,0.10202551716568081,0.9877426839206762
experian,0.22555665419475135,0.05831792137282571,0.007938535534559248,7.346181310009537,2.039496800208317e-13,1.06005195531702
other_model,0.22555665419475135,0.41275893501288596,0.018547413477435347,22.254258552819,1.0257555351297558e-109,1.5109807374751525
more_than_one,0.22555665419475135,-0.28028612581267653,0.018079552840557095,-15.50293462921951,3.3140298783436786e-54,0.7555675231527876
model_na,0.22555665419475135,0.2611224668766246,0.011934096043051089,21.88037250032602,3.995665517565814e-106,1.2983866650569182
dti_manageable,0.22555665419475135,-0.0015625089005811877,0.007938909620856756,-0.19681656237479173,0.8439710897197542,0.9984387111809055
dti_unmanageable,0.22555665419475135,0.3669163222463177,0.008158772057320686,44.97200309905604,0.0,1.4432771438728076
dti_struggling,0.22555665419475135,3.819702382933588,0.010734272626899704,355.8417524594587,0.0,45.5906377496692
combined_loan_to_value_ratio,0.22555665419475135,-0.009250266160441407,0.0002192823612602907,-42.18426921014971,0.0,0.9907923859358477
moderate_lmi,0.22555665419475135,0.0849357439068452,0.010011338231311003,8.483955086164611,2.1766580670158453e-17,1.0886471122406658
middle_lmi,0.22555665419475135,0.02152980928440847,0.006974065172038356,3.0871247620010136,0.0020210275309417436,1.0217632479146757
low_lmi,0.22555665419475135,0.1644965199403681,0.019248236691570542,8.546056585661518,1.2736558916964557e-17,1.178799467252029
credit_union,0.22555665419475135,-0.10096459084284476,0.011337405538190265,-8.905440535115694,5.317445280910319e-19,0.9039650409593695
independent,0.22555665419475135,-0.109702421558709,0.006794470446468844,-16.145838358267124,1.2148658673837844e-58,0.8961007558904679
lender_na,0.22555665419475135,-0.4713782329681401,0.07486635143135767,-6.2962629266143715,3.0490702373021486e-10,0.6241414628828421
lar_count,0.22555665419475135,-1.1595734843089686e-06,1.0050378321944146e-08,-115.37610298481387,0.0,0.999998840427188
non_desktop,0.22555665419475135,-0.0490831512671041,0.007145833435030546,-6.868779088312781,6.475368966236774e-12,0.9521019579227201
aus_na,0.22555665419475135,1.2727514246471217,0.008517962477012947,149.4197031369697,0.0,3.570663470658486
white_cat2,0.22555665419475135,0.09038507368299033,0.007398599236698009,12.216511638401588,2.537408481883551e-34,1.0945957025599178
white_cat3,0.22555665419475135,0.19090360104548354,0.009691228247477314,19.698597140685123,2.216775969931295e-86,1.2103427706797072
white_cat4,0.22555665419475135,0.35039667957600135,0.012194116391213074,28.734897087622745,1.398828910204424e-181,1.4196305753699792
metro_90th,0.22555665419475135,-0.14998514079916633,0.009517653398159371,-15.758626052528044,5.99215640096743e-56,0.8607207659527595
metro_80th,0.22555665419475135,-0.18202793819386004,0.011245841131167415,-16.186244858944043,6.306147165861943e-59,0.8335780514252125
metro_70th,0.22555665419475135,-0.20866922028903767,0.013200861341658087,-15.807242791842542,2.773417877237541e-56,0.8116636731193215
metro_60th,0.22555665419475135,-0.15719044782788913,0.015691142872366073,-10.017781949122378,1.2732832256156528e-23,0.8545412977854298
metro_50th,0.22555665419475135,-0.22263798598623386,0.018319605291824796,-12.152990331379412,5.530508726211668e-34,0.8004045545181326
metro_40th,0.22555665419475135,-0.3254619773708246,0.02159731123594662,-15.069559993612762,2.568177034496549e-51,0.7221936394450267
metro_30th,0.22555665419475135,-0.24001679109345486,0.023139396283958065,-10.37264707117066,3.302475601593921e-25,0.7866146528355147
metro_20th,0.22555665419475135,-0.19094256812499033,0.026379420085693613,-7.238315607572605,4.5429130461355536e-13,0.8261800358572303
metro_10th,0.22555665419475135,-0.2650855533661315,0.02944067065103066,-9.00405960544419,2.175219717085985e-19,0.7671403157319744
metro_less10th,0.22555665419475135,-0.23061628205798754,0.034884685794089335,-6.610817234222068,3.822041241650837e-11,0.7940440965520036
micro_area,0.22555665419475135,0.005027734699939884,0.015430485346568814,0.3258312740666885,0.74455201555868,1.005040394966641
metro_none,0.22555665419475135,0.25099889425806643,0.018365841106601607,13.666615800560574,1.6069671111438427e-42,1.2853086631107231
